key,value,unit,status,range,justification
isru_financing_deadline,"""2037-12""",ГГГГ-ММ,CASE_INPUT,"[""2037-12"", ""2037-12""]",CAPEX 1 250 млн должен быть профинансирован до 2038 года.
source_investment_link,"{""C"": ""EARTH_NEW"", ""D"": ""LUNAR_ISRU""}",отображение source_id -> investment_id,CASE_INPUT,null,Мощность Earth-New требует реализованного опциона; Lunar-ISRU — CAPEX пилотного производства.
storage_investment_link,"{""ZBO"": ""ZBO""}",отображение investment_id -> storage_id,CASE_INPUT,null,"Модернизация ZBO переключает активный режим хранилища (ёмкость 120 т, потери 1,2 %, OPEX 12 млн/год)."
emergency_base_share_threshold,0.2,доля годового общего спроса,TEAM_ASSUMPTION,"[0.1, 0.5]","Emergency считается базовым каналом в году, когда заказанный у него объём превышает 20 % спроса этого года."
holding_cost_averaging,"""trapezoid_monthly""",перечисление,TEAM_ASSUMPTION,"[""trapezoid_monthly""]","Средний физический запас за месяц = (I_start + I_end)/2; стоимость хранения = 0,72 × средний запас × 1/12."
storage_capacity_check,"""end_of_month_hard_peak_warning""",перечисление,TEAM_ASSUMPTION,null,"Жёсткое нарушение, если запас на конец месяца > ёмкости; предупреждение, если запас после поступления (до выдачи) > ёмкости."
emergency_reserve_equivalence,"""stock_covers_lead_time_and_reserved_capacity_covers_45d""",правило,TEAM_ASSUMPTION,null,"Контрактный резерв Emergency засчитывается, только если физический запас покрывает спрос за 6 недель срока поставки И зарезервированная мощность Emergency >= R_y."
opening_stock_reservation_years,1.0,лет,TEAM_ASSUMPTION,"[0.0, 1.0]",Закупка подготовительного периода оплачивает ставку резервирования источника на купленный тоннаж за один год; учитывается в 2035 году.
prep_period_holding_charged,false,логическое,TEAM_ASSUMPTION,"[true, false]",Стоимость хранения начисляется с 2035-01; время хранения в подготовительном периоде (< 1 месяца) не оплачивается.
intra_year_demand_profile,"""uniform""",перечисление,CASE_INPUT,"[""uniform""]","Конвенция организатора — равномерный спрос внутри года, 365 дней."
undelivered_volume_paid,true,логическое,CASE_INPUT,"[true, false]","Контрольное правило организатора: оплачивается заказанный объём (Q_pay = max(заказ, TOP × резерв)), недопоставка в обязательном стрессе платёж не возвращает. Значение false (оплата по фактически поставленному объёму) допустимо только в отдельном исследовательском контрактном сценарии и не является условием организатора.
"
exp10_demand_max,0.02,дополнительный относительный рост спроса,TEAM_ASSUMPTION,"[0.0, 0.02]","Только EXP-10: равномерное U(0, value), множитель общего и критического спроса обязательного стресса в 2038–2040. Одна постоянная реализация на прогон; в основной модели независима от ISRU и цены. Диагностика использует общую равномерную величину с ISRU. Диапазон охватывает цель 1 % из EXP-08; иллюстративная условная неопределённость, а не откалиброванные вероятности организатора. Ядро этот ключ не использует.
"
exp10_isru_reduction_max,0.02,дополнительное относительное снижение фактической доли поставки ISRU,TEAM_ASSUMPTION,"[0.0, 0.02]","Только EXP-10: равномерное U(0, value), множитель (1 − s) к долям ISRU обязательного стресса в 2038–2040. Одна постоянная реализация; надёжность повторно не умножается. Основная модель — независимая, диагностика — комонотонная связь спроса и ISRU; цена независима в обеих. Случайные отключения мощности Core не включены.
"
exp10_price_half_range,0.1,относительное отклонение переменной цены от обязательного стресса,TEAM_ASSUMPTION,"[-0.1, 0.1]","Только EXP-10: равномерное U(−value, value), одна общая постоянная ценовая реализация для Core и Flex в 2038–2039, независимая от физических факторов. Умножает существующий стрессовый множитель 1,25. Иллюстративный экономический диапазон без эмпирической калибровки; не шок мощности или поставки.
"
earth_new_preparation_delay_months,12,месяцев,TEAM_ASSUMPTION,"[0, 3, 6, 12]","EXP-12: наложение на сроки Earth-New в копии данных, как в EXP-09; не параметр ядра"
