key,value,unit,status,range,justification
storage_investment_link,"{""ZBO"": ""ZBO""}",отображение investment_id -> storage_id,CASE_INPUT,null,"Модернизация ZBO переключает активный режим хранилища (ёмкость 120 т, потери 1,2 %, OPEX 12 млн/год)."
emergency_base_share_threshold,0.2,доля годового общего спроса,TEAM_ASSUMPTION,"[0.1, 0.5]","Emergency считается базовым каналом в году, когда заказанный у него объём превышает 20 % спроса этого года."
holding_cost_averaging,"""trapezoid_monthly""",перечисление,TEAM_ASSUMPTION,"[""trapezoid_monthly""]","Средний физический запас за месяц = (I_start + I_end)/2; стоимость хранения = 0,72 × средний запас × 1/12."
storage_capacity_check,"""end_of_month_and_intra_month_peak_hard""",перечисление,TEAM_ASSUMPTION,null,"Оба превышения ёмкости — жёсткие нарушения. Проверяется запас на конец месяца и расчётный пик внутри месяца при заявленном дроблении поставок (intra_month_delivery_batches): физическая исполнимость плана доказывается графиком поступлений, а не пометкой допущения."
intra_month_delivery_batches,1,партий в месяц,TEAM_ASSUMPTION,"[1, 12]","Месячный объём канала приходит N равными партиями, равномерно распределёнными по месяцу, при равномерной выдаче потребителям (конвенция организатора). Пик запаса после партии j равен I_нач + (j·нетто − (j−1)·выдача)/N, максимум берётся по j = 1..N. При N = 1 это запас сразу после единственного поступления, до выдачи, — консервативный край без допущения о внутримесячной синхронизации поставок и выдачи. При N → ∞ пик стремится к max(запас на начало, запас на конец). Выбрано N = 1: организатор не задаёт размер отдельной партии, и ни один принятый план команды не нуждается в дроблении. Чувствительность к N = 2 и N = 4 показана в results/intra_month/intra_month_capacity.md."
emergency_reserve_equivalence,"""contracted_batch_schedule_and_waiting_cover""",правило,TEAM_ASSUMPTION,null,"Договорный аварийный резерв засчитывается только при одновременном выполнении пяти условий, каждое из которых печатается отдельной строкой в contract_reserve_proof: (1) канал доступен в этом году; (2) договорный срок исполнения партии не быстрее срока поставки канала по данным организатора; (3) нетто-объём гарантированной партии после потерь хранилища >= R_y; (4) зарезервированная мощность канала за вычетом обычных заказов года >= партия × число активаций; (5) физический запас на начало года покрывает спрос за время активации плюс срок исполнения. Сам по себе лимит мощности канала (80 т/год) эквивалентности не доказывает. Если блок inventory_policy.emergency_contract не задан, эквивалентность не доказана и действует физический резерв. Правило следует кейсу, §«Начальный запас и резерв»."
opening_stock_reservation_years,1.0,лет,TEAM_ASSUMPTION,"[0.0, 1.0]",Закупка подготовительного периода оплачивает ставку резервирования источника на купленный тоннаж за один год; учитывается в 2035 году.
prep_period_holding_charged,true,логическое,TEAM_ASSUMPTION,"[true, false]","Хранение начального запаса начисляется с фактического месяца поставки, а не с 2035-01: ранняя поставка начального запаса не хранится бесплатно. Правило то же, что и в основном периоде (трапеция): в месяц поставки средний запас равен половине поступления, в каждый последующий месяц подготовительного периода — полному нетто-запасу. Расход относится на первый финансовый год (2035), как закупка и плата за резерв подготовительного периода. Значение false выключает начисление и оставлено только для сопоставления с прежней версией расчёта."
intra_year_demand_profile,"""uniform""",перечисление,CASE_INPUT,"[""uniform""]","Конвенция организатора — равномерный спрос внутри года, 365 дней."
undelivered_volume_paid,true,логическое,CASE_INPUT,"[true, false]","Контрольное правило организатора: оплачивается заказанный объём (Q_pay = max(заказ, TOP × резерв)), недопоставка в обязательном стрессе платёж не возвращает. Значение false (оплата по фактически поставленному объёму) допустимо только в отдельном исследовательском контрактном сценарии и не является условием организатора.
"
exp10_demand_max,0.02,дополнительный относительный рост спроса,TEAM_ASSUMPTION,"[0.0, 0.02]","Только EXP-10: равномерное U(0, value), множитель общего и критического спроса обязательного стресса в 2038–2040. Одна постоянная реализация на прогон; в основной модели независима от ISRU и цены. Диагностика использует общую равномерную величину с ISRU. Диапазон охватывает цель 1 % из EXP-08; иллюстративная условная неопределённость, а не откалиброванные вероятности организатора. Ядро этот ключ не использует.
"
exp10_isru_reduction_max,0.02,дополнительное относительное снижение фактической доли поставки ISRU,TEAM_ASSUMPTION,"[0.0, 0.02]","Только EXP-10: равномерное U(0, value), множитель (1 − s) к долям ISRU обязательного стресса в 2038–2040. Одна постоянная реализация; надёжность повторно не умножается. Основная модель — независимая, диагностика — комонотонная связь спроса и ISRU; цена независима в обеих. Случайные отключения мощности Core не включены.
"
exp10_price_half_range,0.1,относительное отклонение переменной цены от обязательного стресса,TEAM_ASSUMPTION,"[-0.1, 0.1]","Только EXP-10: равномерное U(−value, value), одна общая постоянная ценовая реализация для Core и Flex в 2038–2039, независимая от физических факторов. Умножает существующий стрессовый множитель 1,25. Иллюстративный экономический диапазон без эмпирической калибровки; не шок мощности или поставки.
"
